PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,Unidentified ,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. Jänner 1935,3. Jänner 1935,,,1935-01-03,,,,,GER,"Ansichtspostkarte: ""Trieste. Miramare""","Ansichtspostkarte: ""Trieste. Miramare""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.209,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Ilse“,signed “Ilse”,"Salzburg, Kapuzinerberg 5",
,,Unidentified ,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-10-09,10. 9. 31,,,,GER,"Ansichtspostkarte: ""Abbazia – Veduta generale""","Picture postcard: ""Abbazia – Veduta generale""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.211,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,gezeichnet „Grete“,signed “Grete”,"Salzburg, Kapuzinerberg 5","Postkarte: ""ABBAZIA - Veduta generale""."
,,Unidentified ,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1908-09-24,24. 9. 08,,,,GER,"Ansichtspostkarte: ""Breslau. Partie von der Sandbrücke.""","Picture postcard: ""Breslau. Partie von der Sandbrücke.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.224,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Robert“,signed “Robert”,"Wien, Kochgasse 8","Beschriftung Bild Vorderseite: ""Breslau, Partie vor der Sandbrücke"". Hsl. Überschrieben mit ""Wie gefällt Ihnen das?"""
,,Unidentified ,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12. Février 1936,12. Février 1936,,,1936-02-12,,,,,FRE,"Ansichtspostkarte: ""The Lama Temple, Peiping. | 宮和雍平北""","Picture postcard: ""The Lama Temple, Peiping. | 宮和雍平北""",bauschwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.268,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Gilles“,signed “Gilles”,"Salzburg, Kapuzinerberg 5","Vorderseite: The Lama Temple, Peiping."
,,Vogt,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6. 12. 28,6. 12. 28,,,1928-12-06,,,,,GER,"Ansichtspostkarte: ""Korosko mit Blick auf den Nil (Nubien). | Korosko with a view of the Nile (Nubia) | Korosko avec vue sur le Nil (Nubie).""","Picture postcard: ""Korosko mit Blick auf den Nil (Nubien). | Korosko with a view of the Nile (Nubia) | Korosko avec vue sur le Nil (Nubie).""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.200,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""Korosko mit Blick auf den Nil (Nubien)""."
,,"Wach, Aloys",http://d-nb.info/gnd/119138948,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1923-01-19,19. I. 23,,,,GER,"Ansichtspostkarte: ""Braunau am Inn | Altstadt.""","Picture postcard: ""Braunau am Inn | Altstadt.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.237,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Walden, Martha",http://d-nb.info/gnd/126898626,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1925-09-07,7. IX 1925,,,,GER,"Ansichtspostkarte: ""Genova – Piazza Caricamento""","Picture postcard: ""Genova – Piazza Caricamento""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.238,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Karte wurde mit drei Streifen geklebt, Beschriftung Bild Vorderseite: ""Genova - Plazza Caricamento""."
,,"Walther, Wilhelm",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,8. April 1913,8. April 1913,,,1913-04-08,,,,,GER,"Ansichtspostkarte: ""Worms. Der berühmte alte Judenfriedhof""","Picture postcard: ""Worms. Der berühmte alte Judenfriedhof""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.239,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Einige Schriftzüge sind etwas verbleicht.
,,"Walther, Wilhelm",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. April 1913,23. April 1913,,,1913-04-23,,,,,GER,"Ansichtspostkarte: ""Halle a. S., Moritzburg (Wasserseite).","Picture postcard: ""Halle a. S., Moritzburg (Wasserseite).",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.240,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Wandel, Louise",http://d-nb.info/gnd/1081334711,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1926-09-20,20 9 26,,,,GER,"Ansichtspostkarte: ""Val Gardena: S. Cristina m. 1427 | Hôtel Grisi (già Wolkenstein) | verso Sasso Lungo m. 3178.""","Picture postcard: ""Val Gardena: S. Cristina m. 1427 | Hôtel Grisi (già Wolkenstein) | verso Sasso Lungo m. 3178.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.241,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Absenderin schreibt auf der Vorderseite weiter.
,,"Weddigen, Otto",http://d-nb.info/gnd/117178519,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23/9/09.,23/9/09.,,,1909-09-23,,,,,GER,"Ansichtspostkarte: ""Bad Ems | Lahnpartie und Wasserturm.""","Picture postcard: ""Bad Ems | Lahnpartie und Wasserturm.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.242,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Weddigen, Otto",http://d-nb.info/gnd/117178519,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,,,,,GER,"Ansichtspostkarte: ""View of Old Hakone.""","Picture postcard: ""View of Old Hakone.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.243,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,Unbekannt/Unidentified,,,,"Wien, Kochgasse 8","Beschriftung Bild Vorderseite: ""View of Old Hakone""."
,,"Wiener, Oskar",http://d-nb.info/gnd/117362743,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12/XI 05.,12/XI 05.,,,1905-11-12,,,,,GER,"Ansichtspostkarte: ""Prag, Auf der Karisbrücke. – Prag, Sur le pont Charles IV.""","Picture postcard: ""Prag, Auf der Karisbrücke. – Prag, Sur le pont Charles IV.""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.244,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Grüße auf der Vorderseite; Absenderadresse auf der Rückseite.
,,"Winkler, Leopold",http://d-nb.info/gnd/1203231229,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. Nov. 23,26. Nov. 23,,,1923-11-26,,,,,GER,"Ansichtspostkarte: ""大正 12.9.1. 東京大震災宪三 | 燒 二王門 仲見立"" [Großes Erdbeben von Tokio vom 1. September 1923]","Picture postcard: ""大正 12.9.1. 東京大震災宪三 | 燒 二王門 仲見立"" [The Great Kantō earthquake, 1 September 1923]",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.245,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Winternitz, Alix",http://d-nb.info/gnd/1080246215,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27. 8. 25,27. 8. 25,,,1925-08-27,,,,,GER,"Ansichtspostkarte: ""Gasthof Stern in Oetz.""","Picture postcard: ""Gasthof Stern in Oetz.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.108,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte wurde in der Mitte geklebt (Teil der Empfängeradresse unleserlich).
,,"Winternitz, Alix",http://d-nb.info/gnd/1080246215,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1?. 2. 32,1?. 2. 32,,,1932-02,,,,,GER,"Ansichtspostkarte: ""Kitzbühel i. Tirol""","Picture postcard: ""Kitzbühel i. Tirol""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.109,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Text mit Bleistift durchgestrichen.
,,"Winterstein, Alfred von",http://d-nb.info/gnd/121575616,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1911-12-11,11. 12. 11.,,,,GER,"Ansichtspostkarte: ""Leipzig | Neues Rathaus""","Picture postcard: ""Leipzig | Neues Rathaus""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.246,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Winterstein, Alfred von",http://d-nb.info/gnd/121575616,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23/8. 1917.,23/8. 1917.,,,1917-08-23,,,,,GER,"Ansichtspostkarte: ""Norge. Molde""","Picture postcard: ""Norge. Molde""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.247,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Jahreszahl auf Stempel unleserlich (nur Vermerk vorne).
,,"Wittkowski, Victor",http://d-nb.info/gnd/117426350,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,14.11 ??,,,,GER,"Ansichtspostkarte: ""Güstrow/Domstrasse""","Picture postcard: ""Güstrow/Domstrasse""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.248,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,"Jahr unbekannt, die verwendete Briefmarke erschien am 1. September 1928","Year unknown, the stamp used was issued on 1 September 1928","Salzburg, Kapuzinerberg 5",Karte wurde in der Mitte einmal mit einem Streifen geklebt; das Datum auf dem Poststempel ist schwer leserlich.
,,"Wolf, Gabriel",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,30. 3. 1930.,30. 3. 1930.,,,1930-03-30,,,,,GER,"Ansichtspostkarte: ""Cannes | Promenade de la Croisette.""","Picture postcard: ""Cannes | Promenade de la Croisette.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.249,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Wolff, Bözsi",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28. August 1930,28. August 1930,,,1930-08-28,,,,,GER,"Ansichtspostkarte: ""Bellagio da Cadenabbia""","Picture postcard: ""Bellagio da Cadenabbia""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.250,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Adresse von Leipzig mit rotem Stift auf Salzburg ausgebessert.
,,"Zarek, Otto",http://d-nb.info/gnd/116966378,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. 6. 21.,20. 6. 21.,,,1921-06-20,,,,,GER,"Ansichtspostkarte: ""München  | Nationaltheater""","Picture postcard: ""München  | Nationaltheater""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.251,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Zech, Paul",http://d-nb.info/gnd/118636278,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1915-10-05,5. 10. 15.,,,,GER,"Ansichtspostkarte: ""Dombières-Friedhof.""","Picture postcard: ""Dombières-Friedhof.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.252,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Zech, Paul",http://d-nb.info/gnd/118636278,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1914-03-31,31 3. 14,,,,GER,"Ansichtspostkarte: ""Duisburg Hochfeld | Niederrheinische Hütte""","Picture postcard: ""Duisburg Hochfeld | Niederrheinische Hütte""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.262,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Paris, Hotel Beaujolais, 15 rue de Beaujolais",
,,"Zifferer, Paul",http://d-nb.info/gnd/118772899,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4 Mai 1921,4 Mai 1921,,,1921-05-04,,,,,FRE,"Ansichtspostkarte: ""Neuilly-sur-Seine – Porte de Neuilly entrée du Bois de Boulogne""","Picture postcard: ""Neuilly-sur-Seine – Porte de Neuilly entrée du Bois de Boulogne""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.253,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Auernheimer, Raoul; Bazalgette, Léon; Crommelynck, Fernand",http://d-nb.info/gnd/118505033; http://d-nb.info/gnd/132731568; http://d-nb.info/gnd/11867059X,,,"Salzburg, Kapuzinerberg 5","Weitere Grußworte und Unterschriften von Raoul Auernheimer, Léon Bazalgette und Fernand Crommelynck"
,,"Zifferer, Paul",http://d-nb.info/gnd/118772899,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. Juli 24,29. Juli 24,,,1924-07-29,,,,,GER,"Ansichtspostkarte: ""Rifugio della Roselta m. 2568 s. m.""","Picture postcard: ""Rifugio della Roselta m. 2568 s. m.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.254,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Zweig, Arnold",http://d-nb.info/gnd/118637452,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28. 3. 32,28. 3. 32,,,1932-03-28,,,,,GER,"Ansichtspostkarte: ""Cairo – The Citadel.""","Picture postcard: ""Cairo – The Citadel.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.255,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Zweig, Beatrice",http://d-nb.info/gnd/119370077,,,"Salzburg, Kapuzinerberg 5",
,,"Zweig, Arnold",http://d-nb.info/gnd/118637452,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,.,.,,,1932-08-16,16. VIII. 32,,,,GER,"Ansichtspostkarte: ""Waldhotel Kreuzstein a. Mondsee""","Picture postcard: ""Waldhotel Kreuzstein a. Mondsee""",blauer Farbtstift,blue crayon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.256,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Zweig, Beatrice",http://d-nb.info/gnd/119370077,,,"Salzburg, Kapuzinerberg 5","Über der Empfängeradresse ist mit rotem Stift ""Arnold Zweig (Zweig ist durchgestrichen)"" vermerkt"
,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"Zweig, Friderike",http://d-nb.info/gnd/118637460,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,11. 08. 1936,11. 08. 1936,1936-08-11,,,,,GER,"Ansichtspostkarte: ""Lisboa – Rossio""","Picture postcard: ""Lisboa – Rossio""",,,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.301,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,,,Kurverwaltung Bad Homburg,http://d-nb.info/gnd/1240176-6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Typoskript, 1 Blatt","1 picture postcard, typescript, 1 leaf",,,,,,,1932-07-08,8. 7. 32,,,,GER,"Ansichtspostkarte: ""Bad Homburg, Kurpark""","Picture postcard: ""Bad Homburg, Kurpark""",schwarzes Farbband,black ribbon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.101,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Der Text ist maschinschriftlich verfasst, nur die unleserliche Unterschrift ist handschriftlich."
,,,,Kurverwaltung Bad Homburg,http://d-nb.info/gnd/1240176-6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Typoskript, 1 Blatt","1 picture postcard, typescript, 1 leaf",,,,,,,1932-07-15,15. 7. 32,,,,GER,"Ansichtspostkarte: ""Bad Homburg v. d. Höhe, Weiher im Kurpark""","Picture postcard: ""Bad Homburg v. d. Höhe, Weiher im Kurpark""",schwarzes Farbband,black ribbon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.102,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Der Text ist maschinschriftlich verfasst, nur die unleserliche Unterschrift ist handschriftlich."
,,,,Jüdischer Jugendverein (Düsseldorf),http://d-nb.info/gnd/6021166-0,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. VI. 1930,18. VI. 1930,,,1930-06-18,,,,,GER,"Ansichtspostkarte: ""'Schnellenburg' Düsseldorf | Garten""","Picture postcard: ""'Schnellenburg' Düsseldorf | Garten""",Bleistift und verschiedene Tinten,pencil and several inks,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.125,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Baer, Lilo; Moritz, Hans; ?, Irma; ?, Ernst; ?; Holdenberg, ?; ?; Spies, Irene; Hertz, M.; Baer, Lilo; de Vries, Hilde; Engel, Margot; ?, W.; ?, Erna; Mayer, Klara; Bärenstein, Ilse",,,,"Salzburg, Kapuzinerberg 5","Weitere Absender u. a.: Lilo Baer, Margot Engel, Ernst Eichwald, Klara Mayer, Ilse Löwenstein."
,,,http://d-nb.info/gnd/118572938,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1903-08-24,24. 8. 03,,,,GER,"Ansichtspostkarte: ""Leipzig. Peterskirche.""","Picture postcard: ""Leipzig. Peterskirche.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.204,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Berlin, Großbeerenstraße 69","Beschriftung Bild Vorderseite: ""Leipzig. Peterskirche""."
,,,,Jüdischer Jugendverein (Düsseldorf),http://d-nb.info/gnd/6021166-0,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1930-06-10,10. 6. 30,,,,GER,"Ansichtspostkarte: ""Würzburg, Haugerkirchgasse""","Picture postcard: ""Würzburg, Haugerkirchgasse""",Bleistift und verschiedene Tinten,pencil and several inks,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.4,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Friedmann, Ernst; Engelbert, Kurt; Engel, Margot; Stein, Hannah; Seil, M.; Müller, Doti; Winter, Hilde; Mayer, Leni; Simons, Ilse; Hermans, Victor; Winter, Grete; Simons, R.; Levy, R.; Baer, Rudolf; weitere, unbekannte Unterschriften/several unknown signatures",,,,"Salzburg, Kapuzinerberg 5","weitere Absender u. a.:  Ernst Friedmann, Kurt Engelbert, Margot Engel, Hannah Stein, M. Seil, Doti Müller, Hilde Winter, Leni Mayer, Ilse Simons, Victor Hermans, Grete Winter, R. Simons, R. Levy, Rudolf Baer; auf der Vorderseite Tintenflecke und weitergeschrieben; drei Namen sind unleserlich."
